,0,1,2,3,4
168,Sonim XP5S,Motorola Moto Z4,ZTE Avid Trio,Panasonic LUMIX DMC-ZS10,HUAWEI MateBook X
169,Huawei P10 Lite,LG V30S ThinQ,Fast Cars,Sony Alpha a7,Lenovo Tab 7 Essential
170,Samsung Galaxy S6,ZTE Axon 7,LG K20,FUJIFILM X100T,Dell XPS 10
171,Xiaomi Redmi 6,Motorola One Zoom,Samsung Galaxy J5 Prime,Canon PowerShot G5 X,Samsung Galaxy View
172,HUAWEI Mate X,Google Nexus 5X,HTC One (M8),Olympus Tough TG-6,Apple iPad 9.7 (2018)
173,LG Nexus 4,Samsung Galaxy A6,Huawei P9,Nikon COOLPIX W100,Dell Tdsourcing Latitude E5470
174,LG Tribute HD,BLU Vivo Go,HTC Desire 530,Sony Alpha A6300,Lenovo ThinkPad E580
175,LG G6,Samsung QN65Q90RAF Q90 Series,Motorola Moto G4 Play,Panasonic Lumix ZS80,MSI GS60 6QE 235CA Ghost Pro
176,ASUS ZenFone Live (ZB501KL),Samsung Galaxy J3 Luna Pro,Sony Xperia XZ1 Compact,Sony Alpha A6500,Lenovo ThinkPad Stack
177,LG VOLT,LG Q6,Abacus,Panasonic Lumix FZ1000M2,Dell Precision 5530
178,ASUS E406SA DS04,LG Stylo 2,Samsung Galaxy Note 4,Canon EOS 7D,Getac F110 G4 BASIC
179,LG Rebel 3 LTE,Microsoft Lumia 950,Samsung Galaxy Note10,Nikon COOLPIX P1000,Lenovo ThinkPad E585
180,Nokia 2720 Fold,Jitterbug Smart2,OnePlus 7 Pro 5G,Sony a7 II ILCE-7M2,Lenovo Flex 14 2-IN-1
181,Samsung Galaxy NOTE10+,Microsoft Lumia 950 XL,Huawei P9 Plus,Olympus TG-5,Razer Blade
182,Honor 9,Sonim XP8,Nokia 3310 3G,Sony a7R II,Lenovo ThinkPad T470
183,Apple iPad Air WiFi,OnePlus 6,Google Nexus 5X,Panasonic Lumix DMC-GH4,Lenovo Yoga 2 11
184,Google Nexus 6P,LG V40 ThinQ,LG X Power,Sony Cyber-Shot DSC-HX400V,Apple iPad Pro (3rd generation)
185,Samsung Galaxy Tab 8.9,Sony XPERIA XZ,LG V10,Panasonic Lumix DC-ZS70,Lenovo Legion C730
186,OnePlus 3,LG G5,Toshiba Thrive,FUJIFILM X30,Lenovo ThinkPad Yoga 260
